legacy_row_id,created_at_raw,branch_name,employee_name,customer_name,phone,requested_car,payment_plan,attachments_raw,notes_raw,status,nickname,address,whatsapp_prefix,next_follow_up_raw,visit_count_raw,last_contact_raw,trade_in_raw
2,2026-05-09 00:46:38,معرض المعلم,علاء داود زايد,حسن يونس,599876890,قيد الإدخال...,كاش 💵,-,[تحديث 14/05 04:59 م بواسطة علاء داود زايد]: القدس في خطر,تم البيع ✅ (ID: 9091),,,,,2,,
3,2026-05-09 00:52:25,معرض المعلم,علاء داود زايد,حسن علي,5998760567,سيارة غير محددة بعد,كاش 💵,-,Gjgfff,قيد المتابعة ⏳,,,,,,,
4,2026-05-09 01:00:20,معرض المعلم,علاء داود زايد,حسن محمد,0568000000,سكودا,استبدال سيارة القديمة 🔄,-,"-
[تحديث 2026/05/09 18:30]: تم الاتفاق على مبلغ ٢٥٠٠٠٠ دفعه اولا والباقي شكات على ٢٤ شهر
[تحديث 09/05 19:11]: تم تغير الاتفاق الى ٢٠٠٠٠٠ والباقي على 36 شهر",غير مكتمل ⏳,,,,,,,
5,2026-05-09 18:30:45,معرض المعلم,علاء داود زايد,علي محمد علي,0599787878,جاري الإدخال...,جاري الإدخال...,-,-,غير مكتمل ⚠️,,,,,,,
6,2026-05-09 18:34:01,معرض المعلم,علاء داود زايد,عبس محمز عبس,057895437899,جاري الإدخال...,جاري الإدخال...,-,-,غير مكتمل ⚠️,,,,,,,
7,2026-05-09 18:38:04,معرض المعلم,علاء داود زايد,حسن علي محمدين,56789065433,جاري الإدخال...,جاري الإدخال...,-,-,غير مكتمل ⚠️,,,,,,,
8,2026-05-09 19:06:51,معرض المعلم,علاء داود زايد,علي عوض محمد,0555555555,جاري الإدخال...,جاري الإدخال...,-,-,غير مكتمل ⚠️,,,,,,,
9,2026-05-09 22:54:00,معرض المعلم,علاء داود زايد,رجائي الأشهب,0598754786,Audi A4 (ID: INV-1001),استبدال سيارة القديمة 🔄,-,يريد استبدال سياره قديمة نوع يكودا,قيد المتابعة ⏳,,,,,,,
10,2026-05-10 00:26:02,معرض المعلم,علاء داود زايد,علاء طه محمد حسن,0599999008,Audi A4 (ID: INV-1001),استبدال سيارة القديمة 🔄,-,-,غير مكتمل ⚠️,ابو حسن,الخليل,972,,1,,
11,2026-05-10 01:45:23,معرض المعلم,علاء داود زايد,علي حسن جمعه,05999990088,Audi A4 (ID: INV-1001),كاش 💵,-,شراء بمبلغ ٥٠٠٠٠٠٠٠,الرفض من قبل العميل ❌,ابو محمد,الخليل,972,,1,,
12,2026-05-10 01:50:54,معرض المعلم,علاء داود زايد,حسن الاسمر,0599999008,Audi A4 (ID: INV-1001),استبدال سيارة القديمة 🔄,-,-,غير مكتمل ⚠️,ابو موسى,الخليل,972,,1,,
13,2026-05-10 11:05:37,معرض المعلم,علاء داود زايد,علي محمد حسن,0599870339,Audi A4 (ID: INV-1001) + Hyundai Santa Fe (ID: INV-1018),كاش 💵,-,"التفاوض: قام بسؤال عن السياره وتم الحديث معه
[تحديث 14/05 05:25 م بواسطة علاء داود زايد]: تم الاتفاق",تم البيع ✅,ابو موسى,الخليل,970,,4,,
14,2026-05-12 23:10:28,معرض المعلم,علاء داود زايد,علاء حسن,0599789000,-,استبدال سيارة القديمة 🔄,-,التفاوض: وافق الهميل على شراء,جاري الإدخال...,ايو مصطفى,الخليل,970,,1,,
15,2026-05-12 23:25:29,معرض المعلم,علاء داود زايد,علاء داود محمد,0566789090,-,كاش 💵,-,التفاوض: تم,جاري الإدخال...,الو عزمي,الخليل,970,,1,,
16,2026-05-12 23:34:50,معرض المعلم,علاء داود زايد,علي حينمذ الل,0598757865,-,كاش 💵,-,"التفاوض: تم
[تحديث 12/05 11:42 م]: شراء",قيد المتابعة ⏳,الى حنفي,الخليل,970,,3,,
