legacy_row_id,created_at_raw,target_role_or_room,message,status
2,2026-05-15 20:05:01,معرض المعلم,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: عزمي الاقرع
👨‍💼 الموظف: حسن مهنا
🏢 المعرض: معرض المعلم
🚗 السيارة: بيكانتو 
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2010
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
3,2026-05-15 21:29:37,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: عزمي الاقرع
🏷️ الكنية: ابو مجدي
📞 الهاتف: `0598770770`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: بيكانتو 
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2010
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
4,2026-05-15 21:33:28,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: بسنت محمد
🏷️ الكنية: -
📞 الهاتف: `0567890890`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: سكودا اوكتافيا
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: -
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
5,2026-05-15 22:03:10,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: بسنت محمد
🏷️ الكنية: -
📞 الهاتف: `0567890890`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: سكودا اوكتافيا
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: -
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
6,2026-05-15 23:02:21,معرض المعلم,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: محمد كامل حسن
🏷️ الكنية: بيت لحم
📞 الهاتف: `0598790790`
👨‍💼 الموظف: علاء داود زايد
🏢 المعرض: معرض المعلم
🚗 السيارة: مرسيدس
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2010
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
7,2026-05-15 23:02:24,علاء داود زايد,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (محمد كامل حسن) معروضة كاستبدال!
🚗 *السيارة:* مرسيدس
👤 *المالك الحالي:* محمد كامل حسن
📞 *الهاتف:* `0598790790`
🏢 *بمعرض:* معرض المعلم",Read
8,2026-05-15 23:25:29,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: يزيد علي
🏷️ الكنية: -
📞 الهاتف: `0599876545`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: رينو
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2009
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
9,2026-05-15 23:33:59,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: يزيد علي
🏷️ الكنية: -
📞 الهاتف: `0599876545`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: رينو
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2009
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
10,2026-05-15 23:34:23,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: يزيد علي
🏷️ الكنية: -
📞 الهاتف: `0599876545`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: رينو
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2009
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
11,2026-05-15 23:37:14,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: القواسمه
🏷️ الكنية: -
📞 الهاتف: `0599087770`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: سكودا 
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2010
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
12,2026-05-15 23:37:17,علاء داود زايد,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (حسن محمد) معروضة كاستبدال!
🚗 *السيارة:* سكودا 
👤 *المالك الحالي:* القواسمه
📞 *الهاتف:* `0599087770`
🏢 *بمعرض:* الكل",Read
13,2026-05-15 23:37:17,علاء داود زايد,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك () معروضة كاستبدال!
🚗 *السيارة:* سكودا 
👤 *المالك الحالي:* القواسمه
📞 *الهاتف:* `0599087770`
🏢 *بمعرض:* الكل",Read
14,2026-05-15 23:38:57,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: القواسمه
🏷️ الكنية: -
📞 الهاتف: `0599087770`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: سكودا 
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2010
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
15,2026-05-15 23:38:59,علاء داود زايد,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (حسن محمد) معروضة كاستبدال!
🚗 *السيارة:* سكودا 
👤 *المالك الحالي:* القواسمه
📞 *الهاتف:* `0599087770`
🏢 *بمعرض:* الكل",Read
16,2026-05-15 23:38:59,علاء داود زايد,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك () معروضة كاستبدال!
🚗 *السيارة:* سكودا 
👤 *المالك الحالي:* القواسمه
📞 *الهاتف:* `0599087770`
🏢 *بمعرض:* الكل",Read
17,2026-05-16 02:26:06,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: يزيد حسن
🏷️ الكنية: -
📞 الهاتف: `0599887780`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: سكودا نياك
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: -
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
18,2026-05-16 03:31:55,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: Vcc
🏷️ الكنية: -
📞 الهاتف: `0562229000`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: سكودا نياك
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2010
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
19,2026-05-16 14:48:30,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: Vcc
🏷️ الكنية: -
📞 الهاتف: `0562229000`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: سكودا نياك
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2010
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
20,2026-05-16 15:37:16,معرض المعلم,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: يسشيسي
🏷️ الكنية: -
📞 الهاتف: `0599987780`
👨‍💼 الموظف: علاء داود زايد
🏢 المعرض: معرض المعلم
🚗 السيارة: سشسسي
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2016
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
21,2026-05-16 18:51:41,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: سؤئؤءئئ
🏷️ الكنية: -
📞 الهاتف: `0569870339`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: بيجو
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: -
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
22,2026-05-16 18:51:43,حسن مهنا,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (علي محمدين) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* سؤئؤءئئ
📞 *الهاتف:* `0569870339`
🏢 *بمعرض:* الكل",Read
23,2026-05-16 18:51:44,المدير العام,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (بسنت محمد) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* سؤئؤءئئ
📞 *الهاتف:* `0569870339`
🏢 *بمعرض:* الكل",Read
24,2026-05-16 18:51:44,علاء داود زايد,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (محمد عرفة) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* سؤئؤءئئ
📞 *الهاتف:* `0569870339`
🏢 *بمعرض:* الكل",Read
25,2026-05-16 18:51:45,المدير العام,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (محمد علي كلاي) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* سؤئؤءئئ
📞 *الهاتف:* `0569870339`
🏢 *بمعرض:* الكل",Read
26,2026-05-16 18:54:12,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: سؤئؤءئئ
🏷️ الكنية: -
📞 الهاتف: `0569870339`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: بيجو
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: -
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
27,2026-05-16 18:54:13,حسن مهنا,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (علي محمدين) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* سؤئؤءئئ
📞 *الهاتف:* `0569870339`
🏢 *بمعرض:* الكل",Read
28,2026-05-16 18:54:14,المدير العام,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (بسنت محمد) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* سؤئؤءئئ
📞 *الهاتف:* `0569870339`
🏢 *بمعرض:* الكل",Read
29,2026-05-16 18:54:14,علاء داود زايد,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (محمد عرفة) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* سؤئؤءئئ
📞 *الهاتف:* `0569870339`
🏢 *بمعرض:* الكل",Read
30,2026-05-16 18:54:14,المدير العام,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (محمد علي كلاي) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* سؤئؤءئئ
📞 *الهاتف:* `0569870339`
🏢 *بمعرض:* الكل",Read
31,2026-05-16 18:55:14,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: سؤئؤءئئ
🏷️ الكنية: -
📞 الهاتف: `0569870339`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: سكودا
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: -
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
32,2026-05-16 18:55:15,علاء داود زايد,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (حسن محمد) معروضة كاستبدال!
🚗 *السيارة:* سكودا
👤 *المالك الحالي:* سؤئؤءئئ
📞 *الهاتف:* `0569870339`
🏢 *بمعرض:* الكل",Read
33,2026-05-16 18:55:16,علاء داود زايد,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك () معروضة كاستبدال!
🚗 *السيارة:* سكودا
👤 *المالك الحالي:* سؤئؤءئئ
📞 *الهاتف:* `0569870339`
🏢 *بمعرض:* الكل",Read
34,2026-05-16 18:57:21,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: محمد علي كلاي
🏷️ الكنية: ابو كلاي
📞 الهاتف: `0567890899`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: مازدا 3
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2025
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
35,2026-05-16 18:58:58,معرض المعلم,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: يثيثيثي
🏷️ الكنية: -
📞 الهاتف: `0569990890`
👨‍💼 الموظف: المدير العام
🏢 المعرض: معرض المعلم
🚗 السيارة: مازدا 3
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2024
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
